Appendix 2a. 2020 All-cause and COVID-19 Deaths as Reported by the MOH,,,,
State,Sex,Age Group,All-cause Deaths,Covid-19 Deaths
MT,Total,85-89,1637,270
MT,Total,90,1354,173
PA,Female,0,849,14
PA,Female,1-4,158,10
PA,Female,5-9,74,5
PA,Female,10-14,116,6
PA,Female,15-19,220,8
PA,Female,20-24,252,19
PA,Female,25-29,319,18
PA,Female,30-34,378,47
PA,Female,35-39,535,56
PA,Female,40-44,629,73
PA,Female,45-49,685,88
PA,Female,50-54,986,146
PA,Female,55-59,1101,190
PA,Female,60-64,1536,297
PA,Female,65-69,1802,347
PA,Female,70-74,2001,345
PA,Female,75-79,2205,432
PA,Female,80-84,2313,364
PA,Female,85-89,1826,252
PA,Female,90,2073,183
PA,Male,0,1101,16
PA,Male,1-4,199,9
PA,Male,5-9,111,4
PA,Male,10-14,147,6
PA,Male,15-19,722,12
PA,Male,20-24,1136,20
PA,Male,25-29,1020,36
PA,Male,30-34,1070,65
PA,Male,35-39,1114,94
PA,Male,40-44,1205,137
PA,Male,45-49,1349,216
PA,Male,50-54,1653,269
PA,Male,55-59,2071,357
PA,Male,60-64,2538,480
PA,Male,65-69,3067,644
PA,Male,70-74,3213,673
PA,Male,75-79,3233,692
PA,Male,80-84,2810,541
PA,Male,85-89,1925,315
PA,Male,90,1573,237
PA,Total,0,1950,30
PA,Total,1-4,357,19
PA,Total,5-9,185,9
PA,Total,10-14,263,12
PA,Total,15-19,942,20
PA,Total,20-24,1388,39
PA,Total,25-29,1339,54
PA,Total,30-34,1448,112
PA,Total,35-39,1649,150
PA,Total,40-44,1834,210
PA,Total,45-49,2034,304
PA,Total,50-54,2639,415
PA,Total,55-59,3172,547
PA,Total,60-64,4074,777
PA,Total,65-69,4869,991
PA,Total,70-74,5214,1018
PA,Total,75-79,5438,1124
PA,Total,80-84,5123,905
PA,Total,85-89,3751,567
PA,Total,90,3646,420
PB,Female,0,304,4
PB,Female,1-4,41,2
PB,Female,5-9,20,3
PB,Female,10-14,31,0
PB,Female,15-19,75,2
PB,Female,20-24,93,3
PB,Female,25-29,104,7
PB,Female,30-34,154,8
PB,Female,35-39,228,28
PB,Female,40-44,321,46
PB,Female,45-49,400,43
PB,Female,50-54,565,60
PB,Female,55-59,707,86
PB,Female,60-64,869,109
PB,Female,65-69,1112,159
PB,Female,70-74,1449,170
PB,Female,75-79,1612,197
PB,Female,80-84,1947,221
PB,Female,85-89,1633,166
PB,Female,90,2153,151
PB,Male,0,399,6
PB,Male,1-4,38,4
PB,Male,5-9,23,1
PB,Male,10-14,54,1
PB,Male,15-19,247,1
PB,Male,20-24,412,11
PB,Male,25-29,382,13
PB,Male,30-34,496,35
PB,Male,35-39,554,52
PB,Male,40-44,659,67
PB,Male,45-49,804,89
PB,Male,50-54,988,114
PB,Male,55-59,1179,144
PB,Male,60-64,1234,155
PB,Male,65-69,1461,212
PB,Male,70-74,1692,242
PB,Male,75-79,1663,241
PB,Male,80-84,1791,234
PB,Male,85-89,1310,167
